timestamp,seed,L_m,Np,Nt,td_fixed_count,tl_fixed_count,cond_n_throats,cond_n_positive,dir_rate,dir_D_eff,neu_rate_imposed,neu_rate_calc,neu_D_eff,porosity,tau_dir,tau_neu,density,error
2025-12-01T19:02:13.106540,7000,1e-08,123,169,155,73,169,169,1.9814301713142535e-14,1.9814301713142535e-06,1e-12,1.000000000000005e-12,1.9225109193609103e-06,0.3462023361808749,3.6599217294931905,3.772087464594039,100000000000000.0,
2025-12-01T19:02:20.807007,7001,1e-08,122,168,155,72,168,168,1.3540135742457048e-14,1.3540135742457048e-06,1e-12,9.999999999999996e-13,1.319185118332947e-06,0.3151397252541586,4.875292861041151,5.004007868596064,100000000000000.0,
2025-12-01T19:02:20.879215,7002,1e-08,128,178,160,75,178,178,1.5865839327804492e-14,1.586583932780449e-06,1e-12,9.99999999999996e-13,1.5460281466687244e-06,0.31674742822597546,4.1818708937080515,4.29157074741221,100000000000000.0,
2025-12-01T19:02:20.928906,7003,1e-08,132,181,165,82,181,181,1.5284297043447106e-14,1.5284297043447105e-06,1e-12,9.999999999999844e-13,1.476166027492709e-06,0.3096906149521619,4.244271431532006,4.3945399151839,100000000000000.0,
2025-12-01T19:02:20.977104,7004,1e-08,114,158,144,66,158,158,1.4924115009592746e-14,1.4924115009592744e-06,1e-12,9.999999999999978e-13,1.450261425206628e-06,0.3189419604642077,4.476552142840769,4.606657659440666,100000000000000.0,
2025-12-01T19:02:21.026631,7005,1e-08,122,168,156,72,168,168,1.7023853298959392e-14,1.7023853298959392e-06,1e-12,1.0000000000000026e-12,1.6346066430722172e-06,0.33686081418750013,4.144891829658872,4.316759065382715,100000000000000.0,
2025-12-01T19:02:21.076237,7006,1e-08,122,170,152,70,170,170,1.41992260068265e-14,1.4199226006826499e-06,1e-12,9.999999999999992e-13,1.3459845747912512e-06,0.30169171472241324,4.450607412138186,4.695089505197951,100000000000000.0,
2025-12-01T19:02:21.124368,7007,1e-08,122,166,162,74,166,166,1.5402310718822887e-14,1.5402310718822884e-06,1e-12,9.999999999999984e-13,1.5119864475924773e-06,0.33562995290105013,4.564523074779412,4.649790531716345,100000000000000.0,
2025-12-01T19:02:21.176448,7008,1e-08,130,180,164,76,180,180,1.4797817546938807e-14,1.4797817546938806e-06,1e-12,9.999999999999822e-13,1.3687048510798359e-06,0.31531906525937636,4.463475316907066,4.825707552124617,100000000000000.0,
2025-12-01T19:02:21.225683,7009,1e-08,122,170,152,70,170,170,1.7431789556140325e-14,1.7431789556140325e-06,1e-12,9.999999999999957e-13,1.684854548494297e-06,0.3214550825235529,3.8627704265788396,3.996487485520929,100000000000000.0,
2025-12-01T19:02:21.271930,7010,1e-08,128,178,158,75,178,178,1.518569261617398e-14,1.5185692616173978e-06,1e-12,1.0000000000000034e-12,1.470325581087444e-06,0.3472263953080181,4.789594013083604,4.946748079099709,100000000000000.0,
2025-12-01T19:02:21.320117,7011,1e-08,130,178,169,78,178,178,1.4536945718498742e-14,1.4536945718498742e-06,1e-12,9.99999999999996e-13,1.4196932476745382e-06,0.34935378880720663,5.033995977014858,5.154559013707598,100000000000000.0,
