timestamp,seed,L_m,Np,Nt,td_fixed_count,tl_fixed_count,cond_n_throats,cond_n_positive,diffusivity,dir_rate,dir_D_eff,neu_rate_imposed,neu_rate_calc,neu_D_eff,porosity,tau_dir,tau_neu,density,error
2025-12-02T02:31:54.150515,42,5e-05,122,170,152,70,170,170,1e-08,3.077729714882501e-18,6.155459429765002e-14,1e-12,9.999999999999998e-13,5.708353409342302e-14,0.004395253448228708,714.0414941206924,769.9686990359475,10000000000000.0,
2025-12-02T02:31:54.150515,42,5e-05,122,170,152,70,170,170,1e-07,3.077729714882479e-17,6.155459429764959e-13,1e-12,1.0000000000000022e-12,5.708353409342309e-13,0.004395253448228708,714.0414941206974,769.9686990359464,10000000000000.0,
2025-12-02T02:31:54.150515,42,5e-05,122,170,152,70,170,170,1e-06,3.0777297148825273e-16,6.1554594297650545e-12,1e-12,9.999999999999957e-13,5.7083534093423805e-12,0.004395253448228708,714.0414941206863,769.9686990359368,10000000000000.0,
2025-12-02T02:31:54.150515,42,5e-05,122,170,152,70,170,170,1e-05,3.077729714882417e-15,6.155459429764835e-11,1e-12,1.000000000000001e-12,5.708353409342282e-11,0.004395253448228708,714.0414941207118,769.9686990359502,10000000000000.0,
2025-12-02T02:31:54.150515,42,5e-05,122,170,152,70,170,170,0.0001,3.0777297148825025e-14,6.155459429765006e-10,1e-12,1.000000000000002e-12,5.708353409342283e-10,0.004395253448228708,714.041494120692,769.9686990359501,10000000000000.0,
2025-12-02T02:31:54.150515,42,5e-05,122,170,152,70,170,170,0.001,3.0777297148824915e-13,6.155459429764983e-09,1e-12,1.000000000000002e-12,5.708353409342352e-09,0.004395253448228708,714.0414941206947,769.9686990359407,10000000000000.0,
2025-12-02T02:31:54.150515,42,5e-05,122,170,152,70,170,170,0.01,3.0777297148824763e-12,6.155459429764953e-08,1e-12,9.999999999999994e-13,5.708353409342259e-08,0.004395253448228708,714.0414941206982,769.9686990359533,10000000000000.0,
2025-12-02T02:31:56.988668,43,5e-05,120,166,152,70,166,166,1e-08,2.2412982138763097e-17,4.4825964277526195e-13,1e-12,1.0000000000000002e-12,4.277762162211031e-13,0.006834809010030007,152.47433312788064,159.77533932128017,10000000000000.0,
2025-12-02T02:31:56.988668,43,5e-05,120,166,152,70,166,166,1e-07,2.241298213876314e-16,4.482596427752628e-12,1e-12,1.0000000000000016e-12,4.277762162211015e-12,0.006834809010030007,152.47433312788036,159.7753393212808,10000000000000.0,
2025-12-02T02:31:56.988668,43,5e-05,120,166,152,70,166,166,1e-06,2.2412982138763078e-15,4.482596427752615e-11,1e-12,1.0000000000000024e-12,4.2777621622110024e-11,0.006834809010030007,152.47433312788078,159.77533932128125,10000000000000.0,
2025-12-02T02:31:56.988668,43,5e-05,120,166,152,70,166,166,1e-05,2.241298213876308e-14,4.4825964277526164e-10,1e-12,9.999999999999945e-13,4.27776216221104e-10,0.006834809010030007,152.47433312788078,159.77533932127986,10000000000000.0,
2025-12-02T02:31:56.988668,43,5e-05,120,166,152,70,166,166,0.0001,2.2412982138763136e-13,4.4825964277526274e-09,1e-12,9.999999999999976e-13,4.2777621622110286e-09,0.006834809010030007,152.4743331278804,159.7753393212803,10000000000000.0,
2025-12-02T02:31:56.988668,43,5e-05,120,166,152,70,166,166,0.001,2.2412982138763037e-12,4.482596427752607e-08,1e-12,1.000000000000004e-12,4.2777621622110054e-08,0.006834809010030007,152.47433312788107,159.77533932128117,10000000000000.0,
2025-12-02T02:31:56.988668,43,5e-05,120,166,152,70,166,166,0.01,2.2412982138763046e-11,4.482596427752609e-07,1e-12,1.0000000000000004e-12,4.277762162211004e-07,0.006834809010030007,152.47433312788098,159.7753393212812,10000000000000.0,
2025-12-02T02:31:57.089795,44,5e-05,120,166,152,70,166,166,1e-08,5.836235889529141e-18,1.1672471779058283e-13,1e-12,9.999999999999963e-13,1.129069913126638e-13,0.0013385576017794203,114.67644789520435,118.55400504585812,10000000000000.0,
2025-12-02T02:31:57.089795,44,5e-05,120,166,152,70,166,166,1e-07,5.836235889528808e-17,1.1672471779057618e-12,1e-12,1.0000000000000016e-12,1.1290699131266615e-12,0.0013385576017794203,114.67644789521087,118.55400504585565,10000000000000.0,
2025-12-02T02:31:57.089795,44,5e-05,120,166,152,70,166,166,1e-06,5.836235889528803e-16,1.1672471779057605e-11,1e-12,9.99999999999997e-13,1.1290699131266284e-11,0.0013385576017794203,114.676447895211,118.55400504585913,10000000000000.0,
2025-12-02T02:31:57.089795,44,5e-05,120,166,152,70,166,166,1e-05,5.8362358895292294e-15,1.167247177905846e-10,1e-12,1.0000000000000006e-12,1.1290699131266754e-10,0.0013385576017794203,114.6764478952026,118.5540050458542,10000000000000.0,
2025-12-02T02:31:57.089795,44,5e-05,120,166,152,70,166,166,0.0001,5.836235889529265e-14,1.167247177905853e-09,1e-12,1.000000000000003e-12,1.1290699131266775e-09,0.0013385576017794203,114.67644789520192,118.55400504585398,10000000000000.0,
2025-12-02T02:31:57.089795,44,5e-05,120,166,152,70,166,166,0.001,5.836235889528851e-13,1.1672471779057703e-08,1e-12,9.999999999999994e-13,1.1290699131266355e-08,0.0013385576017794203,114.67644789521003,118.55400504585837,10000000000000.0,
2025-12-02T02:31:57.089795,44,5e-05,120,166,152,70,166,166,0.01,5.14515027953713e-12,1.029030055907426e-07,1e-12,1.0000000000000002e-12,9.979196332618382e-08,0.0013385576017794203,130.0795437504539,134.13480977462683,10000000000000.0,
