timestamp,seed,L_m,Np,Nt,td_fixed_count,tl_fixed_count,cond_n_throats,cond_n_positive,dir_rate,dir_D_eff,neu_rate_imposed,neu_rate_calc,neu_D_eff,porosity,tau_dir,tau_neu,error
2025-11-19T21:05:25.897183,43,0.0001,833,1386,775,276,1386,1386,1.827871472951559e-13,1.827871472951559e-09,1e-12,9.999999999999998e-13,6.730546349047284e-10,0.012240079545864221,140.26817952119163,380.9381744261027,
2025-11-19T21:05:31.550724,44,0.0001,825,1378,761,268,1378,1378,4.589201222054215e-13,4.589201222054215e-09,1e-12,1.0000000000000008e-12,1.4555511004707189e-09,0.01377014049826518,62.85239716622694,198.1670707342426,
2025-11-19T21:05:39.556708,42,0.0002,3025,5410,1969,636,5410,5410,1.3426055577341047e-12,6.713027788670524e-09,1e-12,1.0000000000000018e-12,5.7653204998123295e-09,0.015786800371498374,49.260208709459164,57.357635183173855,
2025-11-19T21:05:47.633576,43,0.0002,3047,5432,2025,658,5432,5432,6.504632692900331e-13,3.2523163464501654e-09,1e-12,1.0000000000000006e-12,3.1427909238050383e-09,0.014138130284460322,91.05834921042522,94.23170831207513,
2025-11-19T21:05:55.511683,44,0.0002,3064,5482,1961,642,5482,5482,1.199929244925253e-12,5.999646224626265e-09,1e-12,1.0000000000000014e-12,1.8618656595383319e-09,0.015444429388746312,53.92210034032538,173.75771666091643,
2025-11-19T21:06:05.173315,42,0.0002,5936,10866,3184,1002,10866,10866,1.2868544690803022e-12,6.434272345401512e-09,1e-12,1.0000000000000024e-12,6.109487233457761e-09,0.01768397914952571,57.57064961822686,60.6311503061623,
2025-11-19T21:06:11.658953,43,0.0002,5953,10868,3277,1034,10868,10868,9.213984700052793e-13,4.6069923500263965e-09,1e-12,1.0000000000000006e-12,4.368972310461573e-09,0.01685838641736994,76.65122297272721,80.82715402199797,
2025-11-19T21:06:19.335545,44,0.0002,5962,10900,3224,1020,10900,10900,1.5793322372463742e-12,7.89666118623187e-09,1e-12,9.999999999999994e-13,2.544530740997283e-09,0.016389205507169203,43.47453761635885,134.91827324118972,
2025-11-19T21:06:26.020501,42,0.0003,9891,18394,4461,1384,18394,18394,1.7969368397589834e-12,5.989789465863279e-09,1e-12,1.0000000000000014e-12,5.809109188438379e-09,0.016067632850555635,56.19024387540092,57.93792471985572,
2025-11-19T21:06:32.482291,43,0.0003,9868,18292,4652,1440,18292,18292,3.244788746631116e-12,1.0815962488770388e-08,1e-12,9.999999999999994e-13,1.0276802276179744e-08,0.017389981967712128,33.678639139741556,35.445548899252536,
2025-11-19T21:06:38.778514,44,0.0003,9877,18364,4449,1386,18364,18364,2.2141932792742734e-12,7.380644264247579e-09,1e-12,9.999999999999998e-13,6.227337622025717e-09,0.017272263519974913,49.02025398724615,58.09883426639008,
2025-11-19T21:06:46.594789,42,0.0003,19303,36464,7004,2138,36464,36464,2.2822024683765022e-12,7.607341561255009e-09,1e-12,9.999999999999998e-13,6.890214482451667e-09,0.018469380659273893,50.85574157828634,56.148759595548036,
2025-11-19T21:06:54.045903,43,0.0003,19393,36522,7424,2263,36522,36522,1.479745031039475e-12,4.9324834367982505e-09,1e-12,9.999999999999972e-13,4.660664493934073e-09,0.017389420003354087,73.84822084904893,78.15519152881242,
2025-11-19T21:07:01.645127,44,0.0003,19314,36460,7081,2164,36460,36460,1.843806027373524e-12,6.1460200912450806e-09,1e-12,1.000000000000001e-12,6.098030726132174e-09,0.017789093184922923,60.62900064395461,61.106129635100054,
