timestamp,seed,L_m,Np,Nt,td_fixed_count,tl_fixed_count,cond_n_throats,cond_n_positive,dir_rate,dir_D_eff,neu_rate_imposed,neu_rate_calc,neu_D_eff,porosity,tau_dir,tau_neu,density,error
2025-11-20T03:55:15.782547,102,0.0025118864315095794,1087803,2143064,112054,32541,2143064,2143064,4.4676483954153476e-11,1.778602884037808e-08,1e-12,9.999999999999961e-13,1.7469464853517433e-08,0.018691064744878284,22.01281709071241,22.411711115154553,10000000000000.0,
2025-11-20T03:59:08.877778,103,0.0025118864315095794,1087858,2142980,112707,32734,2142980,2142980,4.502265281730839e-11,1.7923841148751146e-08,1e-12,9.999999999999875e-13,1.7607745747145574e-08,0.018692729780246962,21.845511449176545,22.237683497431277,10000000000000.0,
2025-11-20T04:02:49.645865,104,0.0025118864315095794,1088320,2143749,113204,32888,2143749,2143749,4.491641758760948e-11,1.7881548141512083e-08,1e-12,1.0000000000000058e-12,1.7559451353861715e-08,0.018814405974836742,22.039714781853387,22.44399400384651,10000000000000.0,
2025-11-20T04:06:14.191389,105,0.0025118864315095794,1087911,2143369,111730,32451,2143369,2143369,4.479763817886536e-11,1.783426120658377e-08,1e-12,9.999999999999984e-13,1.7520207210739323e-08,0.018645960985783517,21.900308030864274,22.292876404319422,10000000000000.0,
2025-11-20T04:09:11.741114,106,0.0025118864315095794,1087370,2142170,112191,32574,2142170,2142170,4.4768110754214454e-11,1.7822506126954805e-08,1e-12,9.999999999999947e-13,1.7514564432956952e-08,0.018702628887528158,21.98135493613992,22.367831899430307,10000000000000.0,
2025-11-20T04:12:34.876744,107,0.0025118864315095794,1087825,2142840,113012,32808,2142840,2142840,4.4515256450686946e-11,1.7721843014352458e-08,1e-12,1.0000000000000161e-12,1.740938447073655e-08,0.018562024923740254,21.940021137255698,22.333794223430708,10000000000000.0,
