timestamp,seed,L_m,Np,Nt,td_fixed_count,tl_fixed_count,cond_n_throats,cond_n_positive,dir_rate,dir_D_eff,neu_rate_imposed,neu_rate_calc,neu_D_eff,porosity,tau_dir,tau_neu,density,error
2025-11-23T21:25:40.553307,100,1e-06,122,170,152,70,170,170,5.85385869717486e-16,5.85385869717486e-10,1e-12,9.999999999999984e-13,5.130107657073165e-10,0.021785755752365216,779.562555379601,889.5425495620651,1000000000000.0,
2025-11-23T21:25:40.834501,101,1e-06,121,168,152,70,168,168,2.492424483186299e-16,2.492424483186299e-10,1e-12,1.000000000000002e-12,2.2459865035071058e-10,0.008715629844520697,732.4826529282964,812.8533696961115,1000000000000.0,
2025-11-23T21:25:40.995040,102,1e-06,119,164,152,70,164,164,1.3498607782350707e-15,1.3498607782350707e-09,1e-12,9.999999999999998e-13,1.265579307563258e-09,0.0076122719320110225,118.12610682597969,125.99273513487498,1000000000000.0,
2025-11-23T21:25:41.225960,103,1e-06,117,158,154,72,158,158,5.103925041704853e-16,5.103925041704853e-10,1e-12,9.999999999999996e-13,4.914784166455393e-10,0.0011864253780077148,48.69189934337261,50.565761581763894,1000000000000.0,
2025-11-23T21:25:41.499946,104,1e-06,124,172,156,72,172,172,5.593430112874165e-16,5.593430112874166e-10,1e-12,9.999999999999986e-13,5.189646990026928e-10,0.010986561715073537,411.43777125568505,443.44989625266214,1000000000000.0,
2025-11-23T21:25:41.715532,105,1e-06,120,168,148,68,168,168,9.716866474443563e-16,9.716866474443562e-10,1e-12,1.0000000000000012e-12,8.004288424235215e-10,0.014718221574141935,317.28509956602437,385.1706464598272,1000000000000.0,
2025-11-23T21:25:41.922506,106,1e-06,128,178,163,74,178,178,4.3908533356057143e-16,4.3908533356057145e-10,1e-12,9.999999999999998e-13,4.1418496845895975e-10,0.002135308519865447,101.86670937175359,107.9908289034062,1000000000000.0,
2025-11-23T21:25:42.104045,107,1e-06,118,162,151,70,162,162,8.426056302720464e-16,8.426056302720464e-10,1e-12,9.999999999999963e-13,8.012054083396544e-10,0.004806110048965202,119.47854618740388,125.65229174232795,1000000000000.0,
2025-11-23T21:25:42.241534,100,1.58489319246111e-06,45,62,44,19,62,62,6.895364983488031e-16,4.423857909153796e-10,1e-12,1.0000000000000006e-12,3.394718306604401e-10,0.014322689626196544,678.1784521948993,883.7743926273012,1000000000000.0,
2025-11-23T21:25:42.385622,101,1.58489319246111e-06,40,53,37,17,53,53,3.790735373565819e-17,3.730788609428503e-11,1e-12,9.999999999999976e-13,3.63890317424172e-11,0.007316335901365823,4107.840471494996,4211.566976798301,1000000000000.0,
2025-11-23T21:25:42.529900,102,1.58489319246111e-06,37,49,37,16,49,49,1.5976387566995309e-15,1.1062466861709186e-09,1e-12,9.999999999999994e-13,9.93064860890956e-10,0.005685814174045637,107.66170525865773,119.93215081948021,1000000000000.0,
2025-11-23T21:25:42.664794,103,1.58489319246111e-06,54,72,68,29,72,72,1.5679805313134642e-16,1.6367311820327872e-10,1e-12,9.999999999999992e-13,1.6067841936108306e-10,0.00046616420348200233,59.65984766194846,60.77177842047371,1000000000000.0,
2025-11-23T21:25:42.822439,104,1.58489319246111e-06,42,56,40,18,56,56,3.513744931334522e-16,3.702400945646622e-10,1e-12,1.0000000000000002e-12,3.088322808032132e-10,0.008327498107886968,471.1418357432784,564.8230727865838,1000000000000.0,
2025-11-23T21:25:42.965175,105,1.58489319246111e-06,43,60,40,17,60,60,1.5579033053736338e-15,9.867003303842694e-10,1e-12,1.000000000000006e-12,8.500965299351845e-10,0.01473890784053216,312.89642776202953,363.17641323908435,1000000000000.0,
2025-11-23T21:25:43.097004,106,1.58489319246111e-06,49,66,51,22,66,66,8.895974360525013e-16,6.698388296725693e-10,1e-12,9.999999999999988e-13,6.02026514153078e-10,0.005112346714071358,159.87131802717138,177.87923629274277,1000000000000.0,
2025-11-23T21:25:43.245350,107,1.58489319246111e-06,38,49,38,17,49,49,4.2672100992642243e-16,3.9029436080520727e-10,1e-12,9.999999999999996e-13,3.709975386660302e-10,0.006435486250898163,345.38992548965257,363.354810067599,1000000000000.0,
2025-11-23T21:25:43.365819,100,2.51188643150958e-06,45,62,44,19,62,62,1.494220665777016e-15,6.048670428731766e-10,1e-12,9.99999999999997e-13,4.809345413132623e-10,0.01624100764384478,562.4366646153521,707.371529606454,1000000000000.0,
2025-11-23T21:25:43.508115,101,2.51188643150958e-06,40,53,37,17,53,53,4.269958056985455e-17,2.6516138598754414e-11,1e-12,9.999999999999927e-13,2.586358915068361e-11,0.002471200982404007,1952.1732740980979,2001.4274431590698,1000000000000.0,
2025-11-23T21:25:43.662449,102,2.51188643150958e-06,37,49,37,16,49,49,1.3180167877617465e-15,5.75824979947368e-10,1e-12,9.999999999999982e-13,5.1483666443215e-10,0.01027510351427027,373.7801895422701,418.0587456514888,1000000000000.0,
2025-11-23T21:25:43.849630,103,2.51188643150958e-06,54,72,68,29,72,72,5.463086554272303e-16,3.598337619717004e-10,1e-12,9.999999999999976e-13,3.528802801096292e-10,0.0024747643553760627,144.06302115247354,146.90177316283723,1000000000000.0,
2025-11-23T21:25:44.007600,104,2.51188643150958e-06,42,56,40,18,56,56,1.0015112341299793e-15,6.657980356361719e-10,1e-12,9.999999999999974e-13,5.690598621257237e-10,0.005531129679761665,174.01709189296417,203.5993849867723,1000000000000.0,
2025-11-23T21:25:44.138849,105,2.51188643150958e-06,43,60,40,17,60,60,1.6885641794308591e-15,6.748080705402316e-10,1e-12,9.999999999999978e-13,5.338299159234597e-10,0.012674717534220314,393.4400773826132,497.3429393376811,1000000000000.0,
2025-11-23T21:25:44.333827,106,2.51188643150958e-06,49,66,51,22,66,66,1.6216960193301078e-15,7.704112655839385e-10,1e-12,1.0000000000000032e-12,6.945788080846534e-10,0.002668417176125162,72.55238241031246,80.47347846386691,1000000000000.0,
2025-11-23T21:25:44.587352,107,2.51188643150958e-06,38,49,38,17,49,49,1.0340438979314918e-15,5.967653617762904e-10,1e-12,9.999999999999963e-13,5.677444210817587e-10,0.012833178852269561,450.45479568455784,473.4803357439756,1000000000000.0,
2025-11-23T21:25:44.772005,100,3.98107170553497e-06,45,62,44,19,62,62,2.4869422670873257e-15,6.351954753947605e-10,1e-12,9.999999999999978e-13,4.936912215768926e-10,0.022780586346883264,751.2389163545239,966.5627820658647,1000000000000.0,
2025-11-23T21:25:44.961420,101,3.98107170553497e-06,40,53,37,17,53,53,8.927232118443247e-17,3.4979346396883864e-11,1e-12,9.999999999999945e-13,3.412572680388291e-11,0.007486373444291476,4483.120088178919,4595.26067838637,1000000000000.0,
2025-11-23T21:25:45.195385,102,3.98107170553497e-06,37,49,37,16,49,49,4.948766982746683e-15,1.3641502048888717e-09,1e-12,1.000000000000002e-12,1.2256875630353767e-09,0.008234640302638018,126.44539463901005,140.7295922762669,1000000000000.0,
2025-11-23T21:25:45.408908,103,3.98107170553497e-06,54,72,68,29,72,72,3.4324925274094084e-16,1.426546425313727e-10,1e-12,9.999999999999994e-13,1.399598326545605e-10,0.0012471897101452632,183.13324231967866,186.65932020085017,1000000000000.0,
2025-11-23T21:25:45.573310,104,3.98107170553497e-06,42,56,40,18,56,56,2.0264238959172508e-15,8.499704088761364e-10,1e-12,9.999999999999988e-13,6.916365390113944e-10,0.01608228748972609,396.33697499248376,487.06897580716543,1000000000000.0,
2025-11-23T21:25:45.752609,105,3.98107170553497e-06,43,60,40,17,60,60,3.3999701053113278e-15,8.573090178590366e-10,1e-12,9.999999999999984e-13,7.121731590447917e-10,0.013932004198216425,340.4056657647605,409.777935722629,1000000000000.0,
2025-11-23T21:25:45.897341,106,3.98107170553497e-06,49,66,51,22,66,66,2.507363098479178e-15,7.51576949941961e-10,1e-12,1.0000000000000018e-12,6.767901428740255e-10,0.004251393821640774,118.48911618407583,131.5824254838806,1000000000000.0,
2025-11-23T21:25:46.028991,107,3.98107170553497e-06,38,49,38,17,49,49,1.0007116193874822e-15,3.643725044858014e-10,1e-12,1.0000000000000006e-12,3.4576393241973447e-10,0.004246245305052205,244.1069009960913,257.24442181042474,1000000000000.0,
2025-11-23T21:25:46.161031,100,1e-05,122,170,152,70,170,170,1.0248117482795182e-14,1.0248117482795181e-09,1e-12,1.0000000000000008e-12,9.024744356378164e-10,0.008563411392928297,175.03435083972377,198.76159590742807,1000000000000.0,
2025-11-23T21:25:46.317384,101,1e-05,121,168,152,70,168,168,1.0761843022880292e-15,1.0761843022880291e-10,1e-12,9.99999999999998e-13,9.652555836820228e-11,0.004495185053357027,874.9464983650208,975.4967521560588,1000000000000.0,
2025-11-23T21:25:46.518136,102,1e-05,119,164,152,70,164,164,9.744015331997845e-15,9.744015331997845e-10,1e-12,1.0000000000000024e-12,9.128098438281803e-10,0.006984566605936683,150.14887406160886,160.28014386903604,1000000000000.0,
2025-11-23T21:25:46.721411,103,1e-05,117,158,154,72,158,158,3.204836401519082e-15,3.2048364015190815e-10,1e-12,1.000000000000001e-12,3.081134057933706e-10,0.0022061902113947127,144.1974777087934,149.98676360037842,1000000000000.0,
2025-11-23T21:25:46.943995,104,1e-05,124,172,156,72,172,172,7.950864515813114e-15,7.950864515813114e-10,1e-12,1.000000000000001e-12,7.335296224697264e-10,0.009855747806470177,259.6544704782045,281.44432787138095,1000000000000.0,
2025-11-23T21:25:47.103153,105,1e-05,120,168,148,68,168,168,1.3011649931049468e-14,1.3011649931049467e-09,1e-12,9.999999999999984e-13,1.126508636164495e-09,0.01006142050683445,161.9748196942253,187.08774916114947,1000000000000.0,
2025-11-23T21:25:47.262973,106,1e-05,128,178,163,74,178,178,1.0911772277912157e-14,1.0911772277912156e-09,1e-12,9.999999999999961e-13,1.027821905647932e-09,0.0031466090111136776,60.404328867233104,64.12767402382414,1000000000000.0,
2025-11-23T21:25:47.552284,107,1e-05,118,162,151,70,162,162,1.3131367901474436e-14,1.3131367901474433e-09,1e-12,9.999999999999986e-13,1.2473145594397578e-09,0.010124554449554275,161.50520616819912,170.02802253432122,1000000000000.0,
2025-11-23T21:25:47.824659,100,1.58489319246111e-05,86,134,89,34,134,134,9.078401335393022e-15,5.728095536846735e-10,1e-12,9.999999999999984e-13,4.528135336806833e-10,0.03274857410448411,1197.5749901780057,1514.9335092787537,1000000000000.0,
2025-11-23T21:25:48.030138,101,1.58489319246111e-05,85,132,89,34,132,132,1.698581827847044e-13,1.071734838283442e-08,1e-12,1.0000000000000006e-12,9.465598074476725e-10,0.015053153737716228,29.421223154766736,333.1194668501506,1000000000000.0,
2025-11-23T21:25:48.190313,102,1.58489319246111e-05,83,128,92,34,128,128,3.2067275973076954e-14,2.0233124048405224e-09,1e-12,1.0000000000000004e-12,1.6625165194244953e-09,0.027838217743936633,288.20337252524007,350.7486704246704,1000000000000.0,
