L,d_mean,d_std,d_sem,d_n,d_cov,n_mean,n_std,n_sem,n_n,n_cov
5e-06,4.485443671607249e-10,3.3897848542858955e-10,2.3969398572290095e-10,2,0.75573011333152,4.230512721901188e-10,3.183064916192877e-10,2.250766787196973e-10,2,0.7524064162989708
1e-05,4.579396429629346e-10,3.313748880578202e-10,2.343174304606177e-10,2,0.7236213181147139,4.310596392182553e-10,3.109704258109973e-10,2.1988929683942434e-10,2,0.7214092842813008
